source,translated,context
Factuurnummer,Rechnungsnummer,
Klant,Kunde,
Klantnaam,Kundenname,
Factuurdatum,Rechnungsdatum,
Vervaldatum,Fälligkeitsdatum,
Bedrag excl. BTW,Betrag ohne MwSt.,
BTW %,MwSt. %,
BTW Bedrag,MwSt. Betrag,
Bedrag incl. BTW,Betrag inkl. MwSt.,
Betaald Bedrag,Bezahlter Betrag,
Openstaand Bedrag,Offener Betrag,
Betaaldatum,Zahlungsdatum,
Betaallink,Zahlungslink,
Referentie,Referenz,
Abonnement,Abonnement,
Opmerkingen,Bemerkungen,
Concept,Entwurf,
Verstuurd,Gesendet,
Betaald,Bezahlt,
Herinnering verstuurd,Mahnung gesendet,
Aanmaning verstuurd,Zahlungsaufforderung gesendet,
Oninbaar,Uneinbringlich,
Offerte Nummer,Angebotsnummer,
Geaccepteerd,Akzeptiert,
Geweigerd,Abgelehnt,
Factuur aangemaakt,Rechnung erstellt,
Leverancier,Lieferant,
Kostencategorie,Kostenkategorie,
Te verwerken,Zu bearbeiten,
Geboekt,Gebucht,
Actief,Aktiv,
Gepauzeerd,Pausiert,
Beeindigd,Beendet,
Maandelijks,Monatlich,
Kwartaal,Vierteljährlich,
Halfjaarlijks,Halbjährlich,
Jaarlijks,Jährlich,
Startdatum,Startdatum,
Einddatum,Enddatum,
Volgende factuurdatum,Nächstes Rechnungsdatum,
Onverwerkt,Unverarbeitet,
Match gevonden,Übereinstimmung gefunden,
Afgeleterd,Abgeglichen,
Genegeerd,Ignoriert,
Instellingen,Einstellungen,
Bedrijf,Unternehmen,
Totale omzet,Gesamtumsatz,
Totale kosten,Gesamtkosten,
Resultaat,Ergebnis,
