source,translated,context
Factuurnummer,Invoice Number,
Klant,Customer,
Klantnaam,Customer Name,
Factuurdatum,Invoice Date,
Vervaldatum,Due Date,
Bedrag excl. BTW,Amount Excl. VAT,
BTW %,VAT %,
BTW Bedrag,VAT Amount,
Bedrag incl. BTW,Amount Incl. VAT,
Betaald Bedrag,Paid Amount,
Openstaand Bedrag,Outstanding Amount,
Betaaldatum,Payment Date,
Betaallink,Payment Link,
Referentie,Reference,
Abonnement,Subscription,
Opmerkingen,Remarks,
Verzendmethode,Send Method,
Herinnering verstuurd,Reminder Sent,
Herinnering datum,Reminder Date,
Aanmaning verstuurd,Summons Sent,
Aanmaning datum,Summons Date,
Concept,Draft,
Verstuurd,Sent,
Betaald,Paid,
Oninbaar,Uncollectible,
Offerte Nummer,Quote Number,
Offerte Datum,Quote Date,
Geaccepteerd,Accepted,
Geweigerd,Rejected,
Factuur aangemaakt,Invoice Created,
Leverancier,Supplier,
Kostencategorie,Cost Category,
Verwerkt op,Processed On,
Te verwerken,To Process,
Geboekt,Booked,
Actief,Active,
Gepauzeerd,Paused,
Beeindigd,Ended,
Frequentie,Frequency,
Maandelijks,Monthly,
Kwartaal,Quarterly,
Halfjaarlijks,Semi-Annual,
Jaarlijks,Annual,
Startdatum,Start Date,
Einddatum,End Date,
Volgende factuurdatum,Next Invoice Date,
Laatste factuurdatum,Last Invoice Date,
Laatste synchronisatie,Last Sync,
Transactie ID,Transaction ID,
Bedrag,Amount,
Naam tegenpartij,Counterparty Name,
Betalingsreferentie,Payment Reference,
Omschrijving,Description,
Gekoppeld aan,Linked To,
Onverwerkt,Unprocessed,
Match gevonden,Match Found,
Afgeleterd,Settled,
Genegeerd,Ignored,
Instellingen,Settings,
Algemeen,General,
Nummering,Numbering,
Facturatie,Invoicing,
Herinneringen,Reminders,
Offertes,Quotes,
Abonnementen,Subscriptions,
Inkoop,Purchases,
Betaalmogelijkheden,Payment Options,
Bedrijf,Company,
Totale omzet,Total Revenue,
Totale kosten,Total Costs,
Resultaat,Result,
Aantal facturen,Number of Invoices,
Openstaand bedrag,Outstanding Amount,
Betalingstermijn moet minimaal 1 dag zijn,Payment term must be at least 1 day,
Geldigheid offertes moet minimaal 1 dag zijn,Quote validity must be at least 1 day,
Nummering niet geconfigureerd voor {0},Numbering not configured for {0},
Deze factuur is al betaald,This invoice has already been paid,
Mollie is niet ingeschakeld in de instellingen,Mollie is not enabled in settings,
Mollie API key is niet geconfigureerd,Mollie API key is not configured,
Factuurbedrag moet groter zijn dan 0,Invoice amount must be greater than 0,
Deze bankkoppeling is niet actief,This bank connection is not active,
Ponto Client ID en Client Secret zijn verplicht,Ponto Client ID and Client Secret are required,
Account ID is verplicht voor Ponto koppeling,Account ID is required for Ponto connection,
Ponto authenticatie mislukt,Ponto authentication failed,
