source,translated,context
Invoice Number,Factuurnummer,
Customer,Klant,
Customer Name,Klantnaam,
Invoice Date,Factuurdatum,
Due Date,Vervaldatum,
Status,Status,
Amount Excl. VAT,Bedrag excl. BTW,
VAT Percentage,BTW %,
VAT Amount,BTW Bedrag,
Amount Incl. VAT,Bedrag incl. BTW,
Paid Amount,Betaald Bedrag,
Outstanding Amount,Openstaand Bedrag,
Payment Date,Betaaldatum,
Payment Link,Betaallink,
Reference,Referentie,
Subscription,Abonnement,
Remarks,Opmerkingen,
Send Method,Verzendmethode,
Reminder Sent,Herinnering verstuurd,
Reminder Date,Herinnering datum,
Summons Sent,Aanmaning verstuurd,
Summons Date,Aanmaning datum,
Draft,Concept,
Sent,Verstuurd,
Paid,Betaald,
Reminder Sent,Herinnering verstuurd,
Summons Sent,Aanmaning verstuurd,
Uncollectible,Oninbaar,
Quote Number,Offerte Nummer,
Quote Date,Offerte Datum,
Accepted,Geaccepteerd,
Rejected,Geweigerd,
Invoice Created,Factuur aangemaakt,
Supplier,Leverancier,
Cost Category,Kostencategorie,
Project,Project,
Document,Document,
Processed On,Verwerkt op,
To Process,Te verwerken,
Booked,Geboekt,
Active,Actief,
Paused,Gepauzeerd,
Ended,Beeindigd,
Frequency,Frequentie,
Monthly,Maandelijks,
Quarterly,Kwartaal,
Semi-Annual,Halfjaarlijks,
Annual,Jaarlijks,
Start Date,Startdatum,
End Date,Einddatum,
Next Invoice Date,Volgende factuurdatum,
Last Invoice Date,Laatste factuurdatum,
Bank,Bank,
Connection Type,Koppeling type,
Last Sync,Laatste synchronisatie,
Transaction ID,Transactie ID,
Amount,Bedrag,
IBAN,IBAN,
Counterparty Name,Naam tegenpartij,
Payment Reference,Betalingsreferentie,
Description,Omschrijving,
Confidence Score,Confidence Score,
Linked To,Gekoppeld aan,
Unprocessed,Onverwerkt,
Match Found,Match gevonden,
Settled,Afgeleterd,
Ignored,Genegeerd,
Settings,Instellingen,
General,Algemeen,
Numbering,Nummering,
Invoicing,Facturatie,
Reminders,Herinneringen,
Quotes,Offertes,
Subscriptions,Abonnementen,
Purchases,Inkoop,
VAT,BTW,
Payment Options,Betaalmogelijkheden,
Payment term must be at least 1 day,Betalingstermijn moet minimaal 1 dag zijn,
Reminder term must be at least 1 day,Betalingstermijn herinnering moet minimaal 1 dag zijn,
Quote validity must be at least 1 day,Geldigheid offertes moet minimaal 1 dag zijn,
Numbering not configured for {0},Nummering niet geconfigureerd voor {0},
This invoice has already been paid,Deze factuur is al betaald,
Existing payment link is still active,Bestaande betaallink is nog actief,
Mollie is not enabled in settings,Mollie is niet ingeschakeld in de instellingen,
Mollie API key is not configured,Mollie API key is niet geconfigureerd,
Invoice amount must be greater than 0,Factuurbedrag moet groter zijn dan 0,
This bank connection is not active,Deze bankkoppeling is niet actief,
This function is only available for Ponto connections,Deze functie is alleen beschikbaar voor Ponto koppelingen,
Ponto Client ID and Client Secret are required,Ponto Client ID en Client Secret zijn verplicht,
Account ID is required for Ponto connection,Account ID is verplicht voor Ponto koppeling,
Ponto authentication failed,Ponto authenticatie mislukt,
Company,Bedrijf,
Total Revenue,Totale omzet,
Total Costs,Totale kosten,
Result,Resultaat,
Number of Invoices,Aantal facturen,
Average Invoice Value,Gemiddelde factuurwaarde,
Outstanding Amount,Openstaand bedrag,
Top Customers,Top klanten,
VAT Overview,BTW overzicht,
Revenue by Customer,Omzet per klant,
Costs by Category,Kosten per categorie,
